reference,number,text,url,email,page,section,description
Aberjona Nursing and Rehabilitation Center,781-729-7370,,,,Community Connector,Seniors and Rehabilitation,
"Advocates, Inc.",617-426-9444,,,,Mental Health,Hotlines,
Ala-teen/Ala Anon,888-4AL-ANON,,,,Mental Health,Hotlines,
Alcoholics Anonymous (AA),617-426-9444,,,,Mental Health,Hotlines,
Ambrose Elementary School,781-721-7012,,winchesterps.org/schools/ambrose_elementary_school/index.php,,"School Resources, Non-Emergency Contacts","School Numbers, Elementary Schools",
Aspen,,,ma-winchester.myfollett.com,,School Resources,Winchester Public Schools,
"Assessors, Dan McGurl, Director",781-721-7111,,,,Community Connector,Town Numbers,
Ballet Arts Centre of Winchester,781-729-8556,,,,Community Connector,The Arts,
Central Office,781-721-7000,,,,Non-Emergency Contacts,School Numbers,
Children's Own,781-729-2689,,,,Community Connector,Children,
Connect and Commit,,,instagram.com/whsconnectandcommit,,School Resources,Winchester High School,
Crawford Memorial United Methodist Church,781-729-5056,,,,Community Connector,Methodist,
Creative Corner Children's Learning Center,781-721-5566,,,,Community Connector,Children,
Crisis Text Line,,741741,crisistextline.org,,Emergency Contacts,,"Text ""Start"" to start, or visit the url for more information"
EnKa Society,781-724-9565,,,,Community Connector,Other Organizations,
Epiphany Episcopal Church,781-729-1263,,,,Community Connector,Episcopal,
"Family Action Network of Winchester, Inc.",,,,info@fanwinchester.org,Community Connector,Other Organizations,
First Baptist Church of Winchester,781-729-2864,,,,Community Connector,Baptist,
First Church of Christ,781-729-5856,,,,Community Connector,Christian Science,
First Congregational Church,781-729-9180,,,,Community Connector,Congregational,
Gamblers Anonymous,888-424-3577,,,,Mental Health,Hotlines,
Griffin Museum of Photography,781-729-1158,,,,Community Connector,The Arts,
Health Department,781-721-7136,,,,Non-Emergency Contacts,Health,For information about the Board of Health and health regulations
Hope Christian Church,781-729-5494,,,,Community Connector,Inter-Denominational,
INTERFACE,888-244-6843,,,,Mental Health,INTERFACE,Free mental health referral helpline available to Winchester Residents Monday through Friday 9 AM to 5 PM
Jenks Senior Center / Winchester Senior Association,781-721-7136,,,,Community Connector,Seniors and Rehabilitation,
Karen Bernard School of Dance,781-729-6400,,,,Community Connector,The Arts,
Kid Connection,781-454-8857,,,,Community Connector,Children,
Kids Corner,781-721-1514,,,,Community Connector,Children,
Kidsborough,508-435-0002,,,,Community Connector,Children,
Kidsborough (before and after school enrichment),,,kidsborough.com/portfolio-item/winchester/,,School Resources,Winchester Public Schools,
Kidstock Creative Theater,781-729-5543,,,,Community Connector,The Arts,
Lahey Behavioral Health,978-968-1700,,,,Mental Health,Hotlines,
Lahey Health Emergency Department,781-744-8100,,,,Mental Health,Hotlines,
